Date,Open,High,Low,Close,Volume,tick
45468.66667,67.34,67.37,66.23,67.24,2278768,NFLX
45469.66667,67.24,68.3,67,67.77,3545815,NFLX
45470.66667,67.94,68.86,67.81,68.43,2404849,NFLX
45471.66667,67.9,68.7,67.31,67.49,3412391,NFLX
45474.66667,67.49,67.5,66.38,67.36,2212826,NFLX
45475.66667,67.35,68.17,67.01,67.96,2411426,NFLX
45476.54514,67.75,68.37,67.55,68.25,1403545,NFLX
45478.66667,68.25,69.75,67.72,69.07,2659065,NFLX
45481.66667,68.7,68.89,68.15,68.57,1930786,NFLX
45482.66667,69,69.53,68.47,68.57,2599474,NFLX
45483.66667,68.5,68.72,67.32,67.77,2651928,NFLX
45484.66667,67.25,67.25,64.74,65.28,5111928,NFLX
45485.66667,65.28,65.59,64.37,64.76,3355197,NFLX
45488.66667,64.75,66.75,64.66,65.65,3208763,NFLX
45489.66667,66.18,66.37,64.91,65.63,2685706,NFLX
45490.66667,65,65.05,63.95,64.75,4017277,NFLX
45491.66667,65.66,65.7,63.92,64.3,7575763,NFLX
45492.66667,66.06,67.9,62.91,63.33,9815631,NFLX
45495.66667,63.95,65.63,63.26,64.75,5219077,NFLX
45496.66667,64.75,64.99,64.1,64.28,2463579,NFLX
45497.66667,63.57,65.24,63.27,63.6,4888163,NFLX
45498.66667,64.1,65,62.17,63.41,4554539,NFLX
45499.66667,64.5,64.7,62.98,63.14,3120659,NFLX
45502.66667,63.46,63.46,62.39,62.7,2400537,NFLX
45503.66667,63.02,63.47,61.7,62.26,3496609,NFLX
45504.66667,62.66,63.36,62.26,62.84,3134877,NFLX
45505.66667,62.93,64.67,61.76,62.49,3720573,NFLX
45506.66667,62.1,62.53,60.84,61.36,3523003,NFLX
45509.66667,58.7,60.46,58.7,59.86,4044235,NFLX
45510.66667,60.06,62.25,60.06,60.96,4319057,NFLX
45511.66667,61.61,63.2,61.06,61.15,3187791,NFLX
45512.66667,62.2,63.23,61.6,63.04,3283542,NFLX
45513.66667,62.3,63.66,62.3,63.39,1980836,NFLX
45516.66667,63.1,63.9,62.71,63.31,2331712,NFLX
45517.66667,63.86,65.1,63.55,64.8,2639571,NFLX
45518.66667,64.87,66.36,64.87,66.17,4014344,NFLX
45519.66667,66.85,67.32,65.98,66.32,3210173,NFLX
45520.66667,66.94,68.02,66.54,67.41,3511014,NFLX
45523.66667,67.41,68.88,67.29,68.85,3016227,NFLX
45524.66667,68.89,71.13,68.82,69.85,4813118,NFLX
45525.66667,69.7,70.1,69.14,69.71,2235343,NFLX
45526.66667,69.1,70.15,68.62,68.9,2729389,NFLX
45527.66667,69.41,69.61,67.86,68.67,2354450,NFLX
45530.66667,68.73,69.06,68.16,68.84,1354154,NFLX
45531.66667,68.85,70.79,68.69,69.57,3164878,NFLX
45532.66667,69.58,69.67,67.71,68.38,2430583,NFLX
45533.66667,69,69.98,68.61,69.25,2186974,NFLX
45534.66667,70.04,70.19,68.82,70.14,3266723,NFLX
45538.66667,70.01,70.39,67.1,67.53,3160964,NFLX
45539.66667,67.33,68.47,67.31,67.97,1785337,NFLX
45540.66667,67.31,68.73,67.19,68.36,1810072,NFLX
45541.66667,68.19,68.32,66.23,66.58,2991265,NFLX
45544.66667,67.4,68.35,67.21,67.54,2683111,NFLX
45545.66667,67.69,68.06,66.58,67.36,2079182,NFLX
45546.66667,67.75,68.3,66.08,68.15,2391924,NFLX
45547.66667,68.49,69.49,68.22,68.68,2588437,NFLX
45548.66667,68,69.96,68,69.71,2276482,NFLX
45551.66667,70,70.3,68.86,69.65,1843745,NFLX
45552.66667,70.08,70.76,69.84,70.69,2298630,NFLX
45553.66667,70.76,70.76,68.8,69.05,2984411,NFLX
45554.66667,70.5,71.57,69.54,70.43,4228480,NFLX
45555.66667,70.56,70.67,69.63,70.1,3998062,NFLX
45558.66667,70.24,71.22,69.92,70.54,3224344,NFLX
45559.66667,70.66,72.24,70.44,72.23,3565731,NFLX
45560.66667,72.1,72.51,71.62,72.16,2259775,NFLX
45561.66667,72.47,72.53,70.17,71.14,2832962,NFLX
45562.66667,70.84,71.07,70.13,70.74,2395613,NFLX
45565.66667,70.7,71.12,70.28,70.93,1711508,NFLX
45566.66667,71.36,71.78,69.86,70.61,2813482,NFLX
45567.66667,70.61,71.62,70.47,71.11,1758167,NFLX
45568.66667,70.43,70.88,70,70.68,2256449,NFLX
45569.66667,71.33,72.1,70.88,71.97,2230139,NFLX
45572.66667,71.48,71.59,69.64,70.19,3360520,NFLX
45573.66667,70.39,72.51,70.35,72.18,3187402,NFLX
45574.66667,71.93,72.86,71.89,72.74,1981070,NFLX
45575.66667,72.33,73.39,72.25,73.03,2767862,NFLX
45576.66667,73.49,73.6,72.12,72.28,2299525,NFLX
45579.66667,72.5,72.66,71.13,71.3,2797071,NFLX
45580.66667,71.25,71.34,69.98,70.6,2932752,NFLX
45581.66667,70.34,70.56,69.78,70.2,2494276,NFLX
45582.66667,70.44,70.44,67.79,68.77,8926672,NFLX
45583.66667,73.76,76.63,73.62,76.39,15974119,NFLX
45586.66667,76.58,77.3,75.66,77.21,6057093,NFLX
45587.66667,76.53,76.97,76.11,76.42,2987252,NFLX
45588.66667,76.28,76.38,74.43,74.93,3749007,NFLX
45589.66667,75.2,75.58,74.63,75.46,2642962,NFLX
45590.66667,75.62,76.85,75.35,75.47,2819473,NFLX
45593.66667,75.87,75.87,74.79,74.91,2862405,NFLX
45594.66667,75.11,76.39,74.8,75.94,3660433,NFLX
45595.66667,75.81,75.98,75.23,75.37,1722002,NFLX
45596.66667,75.39,76.08,75.22,75.6,3057709,NFLX
45597.66667,75.35,76.38,74.78,75.61,2996829,NFLX
45600.66667,75.31,76.25,74.97,75.55,1902194,NFLX
45601.66667,75.74,76.75,75.63,76.39,2200645,NFLX
45602.66667,77.15,78.15,75.74,78.02,3690817,NFLX
45603.66667,78.14,79.82,77.99,79.65,3295074,NFLX
45604.66667,79.74,79.91,78.86,79.5,1910626,NFLX
45607.66667,79.59,80.68,79.56,80.54,2399150,NFLX
45608.66667,80.75,82.04,80.38,81.95,2814064,NFLX
45609.66667,82.26,83.7,82.05,83.05,2767772,NFLX
45610.66667,83.37,84.1,83,83.73,3038231,NFLX
45611.66667,83.2,83.2,81.65,82.4,3673720,NFLX
45614.66667,81.55,84.85,80.93,84.71,4084081,NFLX
45615.66667,83.98,87.45,83.92,87.13,3814227,NFLX
45616.66667,88,89.06,86.84,88.39,4093843,NFLX
45617.66667,88.39,90.8,87.72,89.75,4511263,NFLX
45618.66667,89.6,90.6,89.3,89.78,3214020,NFLX
45621.66667,90.21,90.21,86.42,86.56,6014203,NFLX
45622.66667,86.75,88.64,86.73,87.26,3138259,NFLX
45623.66667,87.21,88.1,85.89,87.73,2578222,NFLX
45625.54514,88.22,89.24,87.67,88.68,2027237,NFLX
45628.66667,88.75,90.23,88.41,89.77,2388966,NFLX
45629.66667,89.44,90.27,88.8,90.22,2401634,NFLX
45630.66667,89.81,91.6,89.81,91.11,2689629,NFLX
45631.66667,91.79,92.7,91.11,91.79,2835307,NFLX
45632.66667,91.52,93.53,91.27,93.47,2955383,NFLX
45635.66667,92.8,93.03,90.26,91.37,3350082,NFLX
45636.66667,91.38,92.29,90.96,91.34,2388575,NFLX
45637.66667,92.47,94.18,92.31,93.66,3501691,NFLX
45638.66667,93.34,93.41,92.26,92.56,2486197,NFLX
45639.66667,91.68,92.56,90.96,91.89,2485829,NFLX
45642.66667,92.39,92.89,91.95,92.11,2674892,NFLX
45643.66667,92.15,92.85,91.64,91.91,2459456,NFLX
45644.66667,91.91,92.24,88.66,88.96,2938194,NFLX
45645.66667,90.82,91.26,89.9,90.2,2815512,NFLX
45646.66667,89.32,91.99,89.05,90.91,4530519,NFLX
45649.66667,91.34,91.5,89.91,91.15,2339375,NFLX
45650.54514,91.5,93.59,91.17,93.21,2320293,NFLX
45652.66667,92.84,93.05,91.53,92.41,2342418,NFLX
45653.66667,91.6,91.81,89.45,90.76,3226158,NFLX
45656.66667,89.45,90.82,88.97,90.04,2202970,NFLX
45657.66667,90.18,90.27,88.95,89.13,1875897,NFLX
45659.66667,89.55,89.86,87.7,88.67,2315685,NFLX
45660.66667,89.31,89.88,87.99,88.11,2970019,NFLX
45663.66667,88.88,89.28,87.17,88.18,3457656,NFLX
45664.66667,87.94,88.8,86.91,87.92,2649823,NFLX
45665.66667,88,88.62,87.3,87.5,2347949,NFLX
45667.66667,86.64,86.64,83.44,83.77,4803312,NFLX
45670.66667,83.15,84.71,82.91,84.03,3024517,NFLX
45671.66667,84.32,84.49,82.35,82.84,3037650,NFLX
45672.66667,83.64,85.08,83.04,84.83,3181383,NFLX
45673.66667,86.1,86.9,84.2,84.24,4028537,NFLX
